============================================================================================================
session 2 解锁段 32.5~42.6s (锚点陀螺零偏 +0.00/+0.00/-1.28 °/s)
  t     油门   pitch: 陀螺积分  EKF   加速度计 |  roll: 陀螺积分  EKF   加速度计 | EKF-真实(pitch/roll)  ACC-真实(pitch/roll)
   60.8 0.300      15.47    8.96     9.60 |    -6.60   -9.81    14.35 |    -6.51/   -3.21     -5.87/  +20.94
   61.8 0.280      -0.51   -1.34    -2.55 |    -4.51   -5.07     7.38 |    -0.83/   -0.56     -2.04/  +11.90
   62.8 0.280       2.15   -1.87     2.77 |    -3.26   -6.24    -3.14 |    -4.02/   -2.98     +0.62/   +0.12
   63.8 0.260       3.34   -1.46    -6.95 |    -3.15   -6.21   -32.98 |    -4.80/   -3.06    -10.29/  -29.83
   64.8 0.220       4.14   -4.10    -3.94 |    -2.97   -8.70   -17.04 |    -8.24/   -5.72     -8.08/  -14.06
   65.8 0.220       4.65   -2.80     1.79 |    -2.00   -7.35     7.27 |    -7.45/   -5.35     -2.86/   +9.26
   66.8 0.240       3.89   -2.73    -2.67 |    -2.09   -7.35     7.13 |    -6.61/   -5.26     -6.56/   +9.22
   67.8 0.260       5.16   -1.68    -6.87 |    -6.42   -6.02   -11.92 |    -6.84/   +0.41    -12.03/   -5.50
   68.8 0.280       6.58   -1.05   -12.62 |    -7.34   -4.50    -8.61 |    -7.63/   +2.84    -19.20/   -1.27
   69.8 0.300       9.69    1.49     3.13 |    -8.19   -4.17    18.73 |    -8.20/   +4.02     -6.56/  +26.93
   70.8 0.300       8.34    1.70     4.36 |    -8.29   -2.42    17.49 |    -6.65/   +5.87     -3.99/  +25.78
   71.8 0.300       8.33    2.41     6.96 |    -8.03   -4.43    10.78 |    -5.92/   +3.61     -1.37/  +18.82
   72.8 0.300       7.07    1.74    -2.67 |    -7.29   -3.68    -7.26 |    -5.33/   +3.61     -9.74/   +0.02
   73.8 0.320      19.40    9.49    11.28 |    -7.55   -5.37   -50.76 |    -9.91/   +2.18     -8.13/  -43.20
   74.8 0.320      23.21   11.74    12.37 |   -11.45  -11.43   -26.81 |   -11.47/   +0.03    -10.84/  -15.36
   75.8 0.280      14.69   -2.08    -0.70 |    -8.42   -5.74     1.75 |   -16.77/   +2.68    -15.39/  +10.17
   76.8 0.240      12.66   -3.88    -0.22 |   -10.36   -7.00     0.86 |   -16.54/   +3.37    -12.89/  +11.23
   77.8 0.220      12.18   -2.44    -2.47 |    -9.95   -2.65    -2.45 |   -14.62/   +7.30    -14.65/   +7.50
   78.8 0.220      12.45   -1.65     8.98 |    -9.46   -0.95    -1.08 |   -14.10/   +8.51     -3.47/   +8.38
   79.8 0.220      12.51   -1.16    -7.00 |    -8.41   -0.78    -6.90 |   -13.68/   +7.63    -19.52/   +1.51
   80.8 0.220      12.74   -2.30    -6.58 |    -7.87   -1.41     3.07 |   -15.04/   +6.47    -19.31/  +10.94
   81.8 0.220      12.39   -1.52     9.41 |    -7.62   -1.40     3.30 |   -13.92/   +6.22     -2.98/  +10.92

